image,folder,score
6_result.jpg,1,3
141.jpg,0,3
283.jpg,0,3
samples_cfg_scale_9.00_gs-207570_e-000445_b-000200.png,1,3
ewe.jpg,1,3
samples_cfg_scale_9.00_gs-255568_e-000548_b-000200.png,1,3
223_apartment.jpg,1,3
211.jpg,0,3
291.jpg,0,3
140.jpg,0,3
222_apart.jpg,1,3
samples_cfg_scale_9.00_gs-171888_e-000368_b-000400.png,1,3
samples_cfg_scale_9.00_gs-127152_e-000272_b-000400.png,1,3
240.jpg,0,3
320.jpg,0,3
225.jpg,0,3
dsd.jpg,1,3
249.jpg,0,3
samples_cfg_scale_9.00_gs-251640_e-000540_b-000000.png,1,3
321.jpg,0,3
214.jpg,0,3
samples_cfg_scale_9.00_gs-251574_e-000539_b-000400.png,1,3
314.jpg,0,3
289.jpg,0,3
257.jpg,0,3
samples_cfg_scale_9.00_gs-255368_e-000548_b-000000.png,1,3
de.jpg,1,3
23_auditorium.jpg,1,3
samples_cfg_scale_9.00_gs-186334_e-000399_b-000400.png,1,3
309.jpg,0,3
